  0.288,   0.003,   0.006,   0.412
  0.290,   0.003,   0.006,   0.412
  0.292,   0.003,   0.006,   0.431
  0.294,   0.003,   0.006,   0.431
  0.296,   0.003,   0.006,   0.431
  0.298,   0.003,   0.006,   0.431
  0.300,   0.003,   0.006,   0.431
  0.303,   0.003,   0.006,   0.450
  0.305,   0.003,   0.006,   0.450
  0.307,   0.003,   0.006,   0.450
  0.309,   0.003,   0.006,   0.450
  0.311,   0.003,   0.005,   0.468
  0.313,   0.003,   0.005,   0.468
  0.315,   0.003,   0.005,   0.468
  0.318,   0.003,   0.005,   0.468
  0.320,   0.003,   0.005,   0.468
  0.322,   0.004,   0.005,   0.487
  0.324,   0.004,   0.005,   0.487
  0.326,   0.004,   0.005,   0.487
  0.328,   0.004,   0.005,   0.487
  0.330,   0.004,   0.005,   0.487
  0.332,   0.004,   0.004,   0.506
  0.335,   0.004,   0.004,   0.506
  0.337,   0.004,   0.004,   0.506
  0.339,   0.004,   0.004,   0.506
  0.341,   0.004,   0.004,   0.525
  0.343,   0.004,   0.004,   0.525
  0.345,   0.004,   0.004,   0.525
  0.347,   0.004,   0.004,   0.525
  0.350,   0.004,   0.004,   0.525
  0.352,   0.004,   0.003,   0.544
  0.354,   0.004,   0.003,   0.544
  0.356,   0.004,   0.003,   0.544
  0.358,   0.004,   0.003,   0.544
  0.360,   0.004,   0.003,   0.544
  0.362,   0.005,   0.003,   0.562
  0.364,   0.005,   0.003,   0.562
  0.366,   0.005,   0.003,   0.562
  0.368,   0.005,   0.003,   0.562
  0.371,   0.005,   0.002,   0.581
  0.373,   0.005,   0.002,   0.581
  0.375,   0.005,   0.002,   0.581
  0.377,   0.005,   0.002,   0.581
  0.379,   0.005,   0.002,   0.581
  0.381,   0.005,   0.002,   0.599
  0.384,   0.005,   0.002,   0.599
  0.386,   0.005,   0.002,   0.599
  0.388,   0.005,   0.002,   0.599
  0.390,   0.005,   0.002,   0.599
  0.392,   0.006,   0.001,   0.618
  0.394,   0.006,   0.001,   0.618
  0.396,   0.006,   0.001,   0.618
  0.398,   0.006,   0.001,   0.618
  0.401,   0.006,   0.001,   0.636
  0.403,   0.006,   0.001,   0.636
  0.405,   0.006,   0.001,   0.636
  0.407,   0.006,   0.001,   0.636
  0.410,   0.006,   0.001,   0.636
  0.412,   0.007,   0.000,   0.655
  0.414,   0.007,   0.000,   0.655
  0.416,   0.007,   0.000,   0.655
  0.418,   0.007,   0.000,   0.655
  0.420,   0.007,   0.000,   0.655
  0.422,   0.007,  -0.000,   0.673
  0.424,   0.007,  -0.000,   0.673
